city,state,pop,query
Cottage Grove,MN,39926,Cottage Grove MN
Winslow Township,NJ,39907,Winslow Township NJ
Florence,SC,39899,Florence SC
Romeoville,IL,39863,Romeoville IL
Carol Stream,IL,39854,Carol Stream IL
Duncanville,TX,39797,Duncanville TX
Plant City,FL,39764,Plant City FL
Olive Branch,MS,39711,Olive Branch MS
Park Ridge,IL,39656,Park Ridge IL
New Berlin,WI,39584,New Berlin WI
Streamwood,IL,39577,Streamwood IL
San Gabriel,CA,39568,San Gabriel CA
Bell Gardens,CA,39501,Bell Gardens CA
West Fargo,ND,39487,West Fargo ND
Rosenberg,TX,39468,Rosenberg TX
Quincy,IL,39463,Quincy IL
Rexburg ,ID,39409,Rexburg  ID
Dover,DE,39403,Dover DE
Keizer,OR,39376,Keizer OR
Roy,UT,39306,Roy UT
Mount Juliet,TN,39289,Mount Juliet TN
Amherst,MA,39263,Amherst MA
Warren,OH,39201,Warren OH
Westerville,OH,39190,Westerville OH
Grants Pass ,OR,39189,Grants Pass  OR
Braintree,MA,39143,Braintree MA
Wheeling,IL,39137,Wheeling IL
Wausau,WI,39106,Wausau WI
Vestavia Hills,AL,39102,Vestavia Hills AL
Bettendorf,IA,39102,Bettendorf IA
Royal Palm Beach,FL,38932,Royal Palm Beach FL
Phenix City,AL,38816,Phenix City AL
Spartanburg,SC,38732,Spartanburg SC
La Vergne,TN,38719,La Vergne TN
Pacifica,CA,38640,Pacifica CA
Calexico,CA,38633,Calexico CA
Lynnwood,WA,38568,Lynnwood WA
Clovis,NM,38567,Clovis NM
Apache Junction,AZ,38499,Apache Junction AZ
Atlantic City,NJ,38497,Atlantic City NJ
Post Falls,ID,38485,Post Falls ID
Lebanon,TN,38431,Lebanon TN
Groton,CT,38411,Groton CT
East Point,GA,38358,East Point GA
Winter Springs,FL,38342,Winter Springs FL
Urbana,IL,38336,Urbana IL
Shrewsbury,MA,38325,Shrewsbury MA
Peachtree City,GA,38244,Peachtree City GA
Owasso,OK,38240,Owasso OK
Holyoke,MA,38238,Holyoke MA
Belleville,NJ,38222,Belleville NJ
Northglenn,CO,38131,Northglenn CO
La Puente,CA,38062,La Puente CA
Adelanto,CA,38046,Adelanto CA
Carpentersville,IL,37983,Carpentersville IL
Stanton,CA,37962,Stanton CA
Cape Girardeau,MO,37941,Cape Girardeau MO
Monrovia,CA,37931,Monrovia CA
Hot Springs,AK,37930,Hot Springs AK
Hot Springs,AR,37930,Hot Springs AR
Portage,IN,37926,Portage IN
Tupelo,MS,37923,Tupelo MS
Brookfield,WI,37920,Brookfield WI
Montclair,CA,37865,Montclair CA
New Albany,IN,37841,New Albany IN
Longview,WA,37818,Longview WA
