city,state,pop,query
Washington Township,NJ,9285,Washington Township NJ
Bay St Louis,MS,9284,Bay St Louis MS
Shelby,OH,9282,Shelby OH
Sugar Grove,IL,9278,Sugar Grove IL
Mount Pleasant,IA,9274,Mount Pleasant IA
Carencro,LA,9272,Carencro LA
Washington Terrace,UT,9267,Washington Terrace UT
Bridgeport,WV,9257,Bridgeport WV
Augusta,KS,9256,Augusta KS
Palm Beach,FL,9245,Palm Beach FL
Waseca ,MN,9241,Waseca  MN
Aliquippa,PA,9238,Aliquippa PA
Willowbrook,IL,9236,Willowbrook IL
Salisbury,MA,9236,Salisbury MA
Southwick,MA,9232,Southwick MA
Putnam,CT,9224,Putnam CT
Chatham Borough,NJ,9212,Chatham Borough NJ
Rathdrum,ID,9211,Rathdrum ID
Manteno,IL,9210,Manteno IL
Ventnor City,NJ,9210,Ventnor City NJ
Rensselaer,NY,9210,Rensselaer NY
Blackstone,MA,9208,Blackstone MA
Freetown,MA,9206,Freetown MA
Thompson,CT,9189,Thompson CT
Mound,MN,9187,Mound MN
Helotes,TX,9178,Helotes TX
Grants,NM,9163,Grants NM
Hailey ,ID,9161,Hailey  ID
Elsmere,KY,9159,Elsmere KY
Cresskill,NJ,9155,Cresskill NJ
Middlebury,VT,9152,Middlebury VT
Burlington,WA,9152,Burlington WA
Tiburon,CA,9146,Tiburon CA
Sturgeon Bay,WI,9144,Sturgeon Bay WI
Huntertown,IN,9141,Huntertown IN
Absecon,NJ,9137,Absecon NJ
Dayton,TX,9134,Dayton TX
Toccoa ,GA,9133,Toccoa  GA
Ellisville,MO,9133,Ellisville MO
Townsend,MA,9127,Townsend MA
Booneville,MS,9126,Booneville MS
Westampton,NJ,9121,Westampton NJ
Waterford,CA,9120,Waterford CA
Lynwood,IL,9116,Lynwood IL
Harahan,LA,9116,Harahan LA
Canal Winchester,OH,9107,Canal Winchester OH
Live Oak,CA,9106,Live Oak CA
Hebron,CT,9098,Hebron CT
Tomah,WI,9093,Tomah WI
Weare,NH,9092,Weare NH
Orange Park,FL,9089,Orange Park FL
Woodbridge,CT,9087,Woodbridge CT
Hooper,UT,9087,Hooper UT
East Grand Forks,MN,9079,East Grand Forks MN
Harwood Heights,IL,9065,Harwood Heights IL
Harrodsburg,KY,9064,Harrodsburg KY
Hawthorn Woods,IL,9062,Hawthorn Woods IL
Springfield,VT,9062,Springfield VT
Little Falls ,MN,9061,Little Falls  MN
Craig,CO,9060,Craig CO
Oak Grove,MN,9058,Oak Grove MN
Tuscumbia,AL,9054,Tuscumbia AL
Haledon,NJ,9052,Haledon NJ
Rutland,MA,9049,Rutland MA
Lake Park,FL,9047,Lake Park FL
Davenport,FL,9043,Davenport FL
Orting,WA,9041,Orting WA
Delta,CO,9035,Delta CO
Bee Cave,TX,9028,Bee Cave TX
Caldwell,NJ,9027,Caldwell NJ
Indian Harbour Beach,FL,9019,Indian Harbour Beach FL
Newark,NY,9017,Newark NY
Clinton ,MO,9008,Clinton  MO
St Anthony Village,MN,9007,St Anthony Village MN
Fitzgerald ,GA,9006,Fitzgerald  GA
Winslow,AZ,9005,Winslow AZ
Beaver Falls,PA,9005,Beaver Falls PA
Hampstead,NH,8998,Hampstead NH
Cloverdale,CA,8996,Cloverdale CA
Yarmouth,ME,8990,Yarmouth ME
Douglas,MA,8983,Douglas MA
Berkeley,MO,8978,Berkeley MO
Ivins,UT,8978,Ivins UT
Bernalillo,NM,8977,Bernalillo NM
Old Orchard Beach,ME,8960,Old Orchard Beach ME
Sheffield Lake,OH,8957,Sheffield Lake OH
Hope,AK,8952,Hope AK
Hope,AR,8952,Hope AR
Locust Grove,GA,8947,Locust Grove GA
Oakland,TN,8936,Oakland TN
Edgewater Park,NJ,8930,Edgewater Park NJ
North Haledon,NJ,8927,North Haledon NJ
Brownfield,TX,8916,Brownfield TX
Monmouth,IL,8902,Monmouth IL
Mansfield Township,NJ,8897,Mansfield Township NJ
Brooksville,FL,8890,Brooksville FL
Park Ridge,NJ,8883,Park Ridge NJ
St Pete Beach,FL,8879,St Pete Beach FL
Blanchard,OK,8879,Blanchard OK
East Haddam,CT,8875,East Haddam CT
Maysville,KY,8873,Maysville KY
Monett,MO,8873,Monett MO
Napoleon,OH,8862,Napoleon OH
Savoy,IL,8857,Savoy IL
Toppenish,WA,8854,Toppenish WA
Signal Mountain,TN,8852,Signal Mountain TN
Seneca,SC,8850,Seneca SC
Glencoe,IL,8849,Glencoe IL
Ocean Township,NJ,8835,Ocean Township NJ
Baxter,MN,8830,Baxter MN
Carbondale,PA,8828,Carbondale PA
Commerce,TX,8828,Commerce TX
Coffeyville,KS,8826,Coffeyville KS
Boonton Town,NJ,8815,Boonton Town NJ
Clayton,NJ,8807,Clayton NJ
Poteau ,OK,8807,Poteau  OK
Andalusia,AL,8805,Andalusia AL
Presque Isle,ME,8797,Presque Isle ME
Rock Falls,IL,8789,Rock Falls IL
Fort Valley ,GA,8780,Fort Valley  GA
Pitman,NJ,8780,Pitman NJ
Jeannette,PA,8780,Jeannette PA
Bogota,NJ,8778,Bogota NJ
Pittsgrove Township,NJ,8777,Pittsgrove Township NJ
Lopatcong Township,NJ,8776,Lopatcong Township NJ
Hoquiam,WA,8776,Hoquiam WA
Port Jervis,NY,8775,Port Jervis NY
Clanton,AL,8768,Clanton AL
Cortez,CO,8766,Cortez CO
Bath,ME,8766,Bath ME
Redding,CT,8765,Redding CT
Graham,TX,8765,Graham TX
Park Hills,MO,8759,Park Hills MO
Wyoming,OH,8756,Wyoming OH
Mascoutah,IL,8754,Mascoutah IL
Lamesa,TX,8751,Lamesa TX
Highland Park,TX,8747,Highland Park TX
Lake Villa,IL,8741,Lake Villa IL
Franklin,NH,8741,Franklin NH
Freeport,ME,8737,Freeport ME
Whitehouse,TX,8734,Whitehouse TX
Bryan,OH,8729,Bryan OH
Chanute,KS,8722,Chanute KS
Highland Heights,OH,8719,Highland Heights OH
Audubon,NJ,8707,Audubon NJ
Socorro,NM,8707,Socorro NM
Clarendon Hills,IL,8702,Clarendon Hills IL
Fort Mitchell,KY,8702,Fort Mitchell KY
Olney,IL,8701,Olney IL
Milton,WA,8697,Milton WA
Anthony,NM,8693,Anthony NM
Thief River Falls ,MN,8674,Thief River Falls  MN
Covington,TN,8663,Covington TN
Glenwood,IL,8662,Glenwood IL
Cheviot,OH,8658,Cheviot OH
Gonzales,CA,8647,Gonzales CA
Sandpoint ,ID,8639,Sandpoint  ID
Carneys Point Township,NJ,8637,Carneys Point Township NJ
Long Hill Township,NJ,8629,Long Hill Township NJ
Hillview,KY,8622,Hillview KY
Skowhegan,ME,8620,Skowhegan ME
Richmond Heights,MO,8603,Richmond Heights MO
Closter,NJ,8594,Closter NJ
HastingsonHudson,NY,8590,HastingsonHudson NY
Wharton,TX,8589,Wharton TX
West Long Branch,NJ,8587,West Long Branch NJ
Olmsted Falls,OH,8582,Olmsted Falls OH
Montague,MA,8580,Montague MA
Westwego,LA,8568,Westwego LA
Gering,NE,8564,Gering NE
Malverne,NY,8560,Malverne NY
Minnetrista,MN,8557,Minnetrista MN
Oberlin,OH,8555,Oberlin OH
Guntersville,AL,8553,Guntersville AL
Othello,WA,8549,Othello WA
Independence ,KS,8548,Independence  KS
Taft,CA,8546,Taft CA
Liberty,TX,8539,Liberty TX
Sutherlin,OR,8524,Sutherlin OR
Ladue,MO,8521,Ladue MO
Clinton,OK,8521,Clinton OK
Sallisaw ,OK,8510,Sallisaw  OK
McCordsville,IN,8503,McCordsville IN
York,SC,8503,York SC
Sunset Hills,MO,8496,Sunset Hills MO
Corrales,NM,8493,Corrales NM
Los Altos Hills,CA,8489,Los Altos Hills CA
Richland Hills,TX,8484,Richland Hills TX
Ayer,MA,8479,Ayer MA
Litchfield,NH,8478,Litchfield NH
Ephrata,WA,8477,Ephrata WA
Cumberland,ME,8473,Cumberland ME
Georgetown,MA,8470,Georgetown MA
Farmingdale,NY,8466,Farmingdale NY
Crete,IL,8465,Crete IL
Kennedale,TX,8463,Kennedale TX
Delavan,WI,8463,Delavan WI
Arab,AL,8461,Arab AL
Millis,MA,8460,Millis MA
Lancaster,SC,8460,Lancaster SC
Haddam,CT,8452,Haddam CT
Orrville,OH,8452,Orrville OH
Brooklyn,CT,8450,Brooklyn CT
Skiatook,OK,8450,Skiatook OK
Plymouth,WI,8445,Plymouth WI
Monticello,AK,8442,Monticello AK
Monticello,AR,8442,Monticello AR
Lancaster,MA,8441,Lancaster MA
Rice Lake,WI,8438,Rice Lake WI
Beebe,AK,8437,Beebe AK
Beebe,AR,8437,Beebe AR
Montvale,NJ,8436,Montvale NJ
Edgewood,KY,8435,Edgewood KY
Northfield,NJ,8434,Northfield NJ
Winnemucca,NV,8431,Winnemucca NV
Kenilworth,NJ,8427,Kenilworth NJ
Smithville,MO,8425,Smithville MO
Fort Stockton,TX,8423,Fort Stockton TX
Jefferson City,TN,8419,Jefferson City TN
Elwood,IN,8410,Elwood IN
Georgetown,SC,8403,Georgetown SC
Seabrook,NH,8401,Seabrook NH
Ellsworth,ME,8399,Ellsworth ME
Hopkinton,RI,8398,Hopkinton RI
Saint Marys,OH,8397,Saint Marys OH
Pulaski,TN,8397,Pulaski TN
Park City,UT,8396,Park City UT
Atmore,AL,8391,Atmore AL
Hondo,TX,8387,Hondo TX
Milliken,CO,8386,Milliken CO
Nevada ,MO,8386,Nevada  MO
Cohasset,MA,8381,Cohasset MA
Kearney,MO,8381,Kearney MO
Buxton,ME,8376,Buxton ME
Eaton,OH,8375,Eaton OH
New Richmond,WI,8375,New Richmond WI
Newton,NJ,8374,Newton NJ
Denison,IA,8373,Denison IA
Des Peres,MO,8373,Des Peres MO
Hampton,GA,8368,Hampton GA
Gilberts,IL,8366,Gilberts IL
Long Grove,IL,8366,Long Grove IL
Waite Park,MN,8360,Waite Park MN
Senatobia,MS,8354,Senatobia MS
Miles City,MT,8354,Miles City MT
Upper Saddle River,NJ,8353,Upper Saddle River NJ
Dalhart,TX,8347,Dalhart TX
St Francis,MN,8342,St Francis MN
Hollis,NH,8342,Hollis NH
Jerseyville,IL,8337,Jerseyville IL
Virginia,MN,8337,Virginia MN
Mont Belvieu,TX,8337,Mont Belvieu TX
Park City,KS,8333,Park City KS
Mount Rainier,MD,8333,Mount Rainier MD
Trinidad,CO,8329,Trinidad CO
CrotononHudson,NY,8327,CrotononHudson NY
Cushing,OK,8327,Cushing OK
Fruitland Park,FL,8325,Fruitland Park FL
Runnemede,NJ,8324,Runnemede NJ
Hillside,IL,8320,Hillside IL
Boonville ,MO,8319,Boonville  MO
Wynne,AK,8314,Wynne AK
Wynne,AR,8314,Wynne AR
Hood River ,OR,8313,Hood River  OR
Potsdam,NY,8312,Potsdam NY
Hillsboro,TX,8305,Hillsboro TX
Princeton,IN,8301,Princeton IN
Orland,CA,8298,Orland CA
Paris,IL,8291,Paris IL
Perryton,TX,8289,Perryton TX
Rolling Hills Estates,CA,8280,Rolling Hills Estates CA
Bedminster,NJ,8272,Bedminster NJ
Gray,ME,8269,Gray ME
Stuttgart,AK,8264,Stuttgart AK
Stuttgart,AR,8264,Stuttgart AR
Hornell,NY,8263,Hornell NY
Bel Aire,KS,8262,Bel Aire KS
Bellevue,OH,8249,Bellevue OH
New Prague,MN,8247,New Prague MN
Franklin,VA,8247,Franklin VA
Corning,CA,8244,Corning CA
Oradell,NJ,8244,Oradell NJ
Stayton,OR,8244,Stayton OR
Cuero,TX,8235,Cuero TX
Antigo,WI,8234,Antigo WI
Sioux Center,IA,8229,Sioux Center IA
Bow,NH,8229,Bow NH
Centerville,GA,8228,Centerville GA
Dayton,MN,8226,Dayton MN
Perryville ,MO,8225,Perryville  MO
Woodstock,CT,8221,Woodstock CT
Maryville,IL,8221,Maryville IL
Rawlins,WY,8221,Rawlins WY
Harrisburg,IL,8219,Harrisburg IL
Providence,UT,8218,Providence UT
Price,UT,8216,Price UT
Ashland,WI,8216,Ashland WI
Westminster,MA,8213,Westminster MA
Orono,MN,8212,Orono MN
Johnstown,NY,8204,Johnstown NY
Boxford,MA,8203,Boxford MA
Richfield,UT,8201,Richfield UT
Litchfield,CT,8192,Litchfield CT
Brazil,IN,8181,Brazil IN
Union,SC,8174,Union SC
Milan,TN,8171,Milan TN
Adams,MA,8166,Adams MA
Oak Brook,IL,8163,Oak Brook IL
Spotswood,NJ,8163,Spotswood NJ
North Bay Village,FL,8159,North Bay Village FL
Selah,WA,8153,Selah WA
Los Fresnos,TX,8152,Los Fresnos TX
Alliance,NE,8151,Alliance NE
Monson,MA,8150,Monson MA
Templeton,MA,8149,Templeton MA
Payette ,ID,8127,Payette  ID
Hardyston Township,NJ,8125,Hardyston Township NJ
Scott,LA,8119,Scott LA
Pleasant Hill,MO,8113,Pleasant Hill MO
Lock Haven,PA,8108,Lock Haven PA
Bay Minette,AL,8107,Bay Minette AL
Dighton,MA,8101,Dighton MA
Kirby,TX,8100,Kirby TX
Joshua,TX,8098,Joshua TX
Firebaugh,CA,8096,Firebaugh CA
Orange Beach,AL,8095,Orange Beach AL
Lochbuie,CO,8088,Lochbuie CO
Grandview Heights,OH,8085,Grandview Heights OH
Springfield,FL,8075,Springfield FL
Mahtomedi,MN,8075,Mahtomedi MN
Pismo Beach,CA,8072,Pismo Beach CA
Plumsted Township,NJ,8072,Plumsted Township NJ
Navasota,TX,8068,Navasota TX
York,NE,8066,York NE
Wyoming,MN,8063,Wyoming MN
Sunnyvale,TX,8062,Sunnyvale TX
Guadalupe,CA,8057,Guadalupe CA
Brentwood,MO,8055,Brentwood MO
Island Lake,IL,8051,Island Lake IL
Butler,NJ,8047,Butler NJ
Maplewood,MO,8046,Maplewood MO
Gypsum,CO,8040,Gypsum CO
Livingston,MT,8040,Livingston MT
Oak Hill,WV,8040,Oak Hill WV
Duvall,WA,8034,Duvall WA
Westlake Village,CA,8029,Westlake Village CA
Lucas,TX,8029,Lucas TX
Byram Township,NJ,8028,Byram Township NJ
Sequim,WA,8024,Sequim WA
Richmond,RI,8020,Richmond RI
Aransas Pass,TX,8011,Aransas Pass TX
Scappoose,OR,8010,Scappoose OR
Newport,AK,8005,Newport AK
Newport,AR,8005,Newport AR
Silvis,IL,8003,Silvis IL
Riverside Township,NJ,8003,Riverside Township NJ
Upton,MA,8000,Upton MA
Cleveland,TX,7999,Cleveland TX
Broadview,IL,7998,Broadview IL
Charlestown,RI,7997,Charlestown RI
South Beloit,IL,7989,South Beloit IL
Sterling,MA,7985,Sterling MA
Moundsville ,WV,7981,Moundsville  WV
Jefferson,WI,7973,Jefferson WI
Quincy,FL,7970,Quincy FL
Albertville,MN,7970,Albertville MN
North Hanover Township,NJ,7963,North Hanover Township NJ
Port Jefferson,NY,7962,Port Jefferson NY
Seaford,DE,7957,Seaford DE
Lexington,TN,7956,Lexington TN
Fort Lupton,CO,7955,Fort Lupton CO
Spring Hill,KS,7952,Spring Hill KS
Berwick,ME,7950,Berwick ME
Winslow,ME,7948,Winslow ME
Kenton,OH,7947,Kenton OH
Wahpeton,ND,7943,Wahpeton ND
Lincolnshire,IL,7940,Lincolnshire IL
Waterboro,ME,7936,Waterboro ME
Oak Grove,KY,7931,Oak Grove KY
Barre,VT,7923,Barre VT
Woodland Park,CO,7920,Woodland Park CO
Baldwinsville,NY,7898,Baldwinsville NY
Bernardsville,NJ,7893,Bernardsville NJ
Park City,IL,7885,Park City IL
Collinsville,OK,7881,Collinsville OK
Warrenton ,MO,7880,Warrenton  MO
West Boylston,MA,7877,West Boylston MA
Humboldt,TN,7874,Humboldt TN
Fairfield,NJ,7872,Fairfield NJ
South Weber,UT,7867,South Weber UT
Dexter,MO,7864,Dexter MO
Rockton,IL,7863,Rockton IL
Corbin,KY,7856,Corbin KY
Campbell,OH,7852,Campbell OH
Bradford,PA,7849,Bradford PA
Bonner Springs,KS,7837,Bonner Springs KS
Perry,IA,7836,Perry IA
Raritan,NJ,7835,Raritan NJ
Plain City,UT,7833,Plain City UT
Princeton,IL,7832,Princeton IL
Plaistow,NH,7830,Plaistow NH
Webster City,IA,7825,Webster City IA
Ponchatoula,LA,7822,Ponchatoula LA
Providence Village,TX,7812,Providence Village TX
Yreka,CA,7807,Yreka CA
Glen Ridge,NJ,7802,Glen Ridge NJ
Ripley,TN,7800,Ripley TN
Rhinelander,WI,7798,Rhinelander WI
Oak Grove,MO,7795,Oak Grove MO
Blair,NE,7790,Blair NE
Camden,SC,7788,Camden SC
Travelers Rest,SC,7788,Travelers Rest SC
Mansfield Township,NJ,7781,Mansfield Township NJ
Colonie,NY,7781,Colonie NY
Bloomingdale,NJ,7777,Bloomingdale NJ
Charlestown,IN,7775,Charlestown IN
Sheboygan Falls,WI,7775,Sheboygan Falls WI
Fanwood,NJ,7774,Fanwood NJ
Brunswick,MD,7762,Brunswick MD
Pikeville,KY,7754,Pikeville KY
Whitefish,MT,7751,Whitefish MT
Halifax,MA,7749,Halifax MA
Olivette,MO,7737,Olivette MO
Ripon,WI,7733,Ripon WI
Jersey Village,TX,7731,Jersey Village TX
Shorewood,MN,7728,Shorewood MN
Lake Dallas,TX,7722,Lake Dallas TX
Shelburne,VT,7717,Shelburne VT
Brigantine,NJ,7716,Brigantine NJ
Wellington ,KS,7715,Wellington  KS
Austell,GA,7713,Austell GA
Chester Township,NJ,7713,Chester Township NJ
Fairlawn,OH,7710,Fairlawn OH
Hampden,ME,7709,Hampden ME
West Bridgewater,MA,7707,West Bridgewater MA
Stanwood,WA,7705,Stanwood WA
Gilford,NH,7699,Gilford NH
Canfield,OH,7699,Canfield OH
Farr West,UT,7691,Farr West UT
Lamar,CO,7687,Lamar CO
Clear Lake,IA,7687,Clear Lake IA
West Dundee,IL,7686,West Dundee IL
Severance,CO,7683,Severance CO
Round Lake Park,IL,7680,Round Lake Park IL
Ruidoso,NM,7679,Ruidoso NM
Stratham,NH,7669,Stratham NH
Hampshire,IL,7667,Hampshire IL
Tyrone,GA,7658,Tyrone GA
Lake Geneva,WI,7651,Lake Geneva WI
Emmett ,ID,7647,Emmett  ID
Ilion,NY,7646,Ilion NY
Upper Deerfield Township,NJ,7645,Upper Deerfield Township NJ
Seward,NE,7643,Seward NE
Harrisburg,SD,7638,Harrisburg SD
Ojai,CA,7637,Ojai CA
Dunellen,NJ,7637,Dunellen NJ
Pearsall,TX,7637,Pearsall TX
Hubbard,OH,7636,Hubbard OH
Clinton,SC,7633,Clinton SC
Old Lyme,CT,7628,Old Lyme CT
New Albany,MS,7626,New Albany MS
Wagoner ,OK,7621,Wagoner  OK
Inverness,IL,7616,Inverness IL
Southwest Ranches,FL,7607,Southwest Ranches FL
Fairfax,CA,7605,Fairfax CA
Easton,CT,7605,Easton CT
Knoxville,IA,7595,Knoxville IA
Farmington,ME,7592,Farmington ME
Williston Park,NY,7591,Williston Park NY
Pittston,PA,7591,Pittston PA
Decorah,IA,7587,Decorah IA
Farmington,AK,7584,Farmington AK
Farmington,AR,7584,Farmington AR
Cotati,CA,7584,Cotati CA
Independence,OH,7584,Independence OH
Middlebury,CT,7574,Middlebury CT
Geneseo,NY,7574,Geneseo NY
London,KY,7572,London KY
Orange,MA,7569,Orange MA
Briarcliff Manor,NY,7569,Briarcliff Manor NY
Marengo,IL,7568,Marengo IL
Wauseon,OH,7568,Wauseon OH
Hamilton,MA,7561,Hamilton MA
Mount Sterling,KY,7558,Mount Sterling KY
Floresville,TX,7554,Floresville TX
Santa Clara,UT,7553,Santa Clara UT
Fort Scott ,KS,7552,Fort Scott  KS
Lander,WY,7546,Lander WY
Inverness,FL,7543,Inverness FL
Quincy,WA,7543,Quincy WA
Dahlonega ,GA,7537,Dahlonega  GA
Creston,IA,7536,Creston IA
Monona,WI,7533,Monona WI
River Oaks,TX,7524,River Oaks TX
Batesville,MS,7523,Batesville MS
Sebastopol,CA,7521,Sebastopol CA
Lampasas,TX,7517,Lampasas TX
Breaux Bridge,LA,7513,Breaux Bridge LA
Williamstown,MA,7513,Williamstown MA
Pleasantville,NY,7513,Pleasantville NY
Eagle,CO,7511,Eagle CO
DuBois,PA,7510,DuBois PA
Aurora,MO,7508,Aurora MO
Tell City,IN,7506,Tell City IN
Longboat Key,FL,7505,Longboat Key FL
Monahans,TX,7498,Monahans TX
Auburn,GA,7495,Auburn GA
Haddon Heights,NJ,7495,Haddon Heights NJ
Berlin Borough,NJ,7489,Berlin Borough NJ
Thompsons Station,TN,7485,Thompsons Station TN
Great Neck Plaza,NY,7482,Great Neck Plaza NY
Hughson,CA,7481,Hughson CA
Wickenburg,AZ,7474,Wickenburg AZ
Hardeeville,SC,7473,Hardeeville SC
Escalon,CA,7472,Escalon CA
South Berwick,ME,7467,South Berwick ME
North Bend,WA,7461,North Bend WA
Vandalia,IL,7458,Vandalia IL
Lexington,VA,7457,Lexington VA
Madras ,OR,7456,Madras  OR
McCook,NE,7446,McCook NE
Hartsville,SC,7446,Hartsville SC
Carl Junction,MO,7445,Carl Junction MO
Thomaston,CT,7442,Thomaston CT
Page,AZ,7440,Page AZ
Catoosa,OK,7440,Catoosa OK
Chehalis,WA,7439,Chehalis WA
Palmyra,NJ,7438,Palmyra NJ
Old Town,ME,7431,Old Town ME
Shirley,MA,7431,Shirley MA
LaFollette,TN,7430,LaFollette TN
Hudson Falls,NY,7427,Hudson Falls NY
North Riverside,IL,7426,North Riverside IL
Swainsboro ,GA,7425,Swainsboro  GA
Gridley,CA,7421,Gridley CA
Bloomfield,NM,7421,Bloomfield NM
Arcadia,FL,7420,Arcadia FL
Woodlake,CA,7419,Woodlake CA
Union,KY,7416,Union KY
Tuttle,OK,7413,Tuttle OK
Hitchcock,TX,7408,Hitchcock TX
Piedmont,OK,7402,Piedmont OK
Trumann,AK,7399,Trumann AK
Trumann,AR,7399,Trumann AR
Charles City,IA,7396,Charles City IA
Caribou,ME,7396,Caribou ME
Belle Plaine,MN,7396,Belle Plaine MN
Alamo Heights,TX,7392,Alamo Heights TX
Commerce,GA,7387,Commerce GA
Kaufman,TX,7379,Kaufman TX
Greenville,AL,7374,Greenville AL
Cedarhurst,NY,7374,Cedarhurst NY
Enoch,UT,7374,Enoch UT
Pocahontas,AK,7371,Pocahontas AK
Pocahontas,AR,7371,Pocahontas AR
Bondurant,IA,7365,Bondurant IA
St Johnsbury,VT,7364,St Johnsbury VT
Umatilla,OR,7363,Umatilla OR
Belen,NM,7360,Belen NM
Washington,IA,7352,Washington IA
Riverdale Park,MD,7351,Riverdale Park MD
Northport,NY,7347,Northport NY
Scottsburg,IN,7345,Scottsburg IN
Rumson,NJ,7343,Rumson NJ
Newberry,FL,7342,Newberry FL
Valley Center,KS,7340,Valley Center KS
Dunbar,WV,7330,Dunbar WV
Nibley,UT,7328,Nibley UT
Clewiston,FL,7327,Clewiston FL
Pelham,NY,7326,Pelham NY
Flatwoods,KY,7325,Flatwoods KY
New Paltz,NY,7324,New Paltz NY
La Junta,CO,7322,La Junta CO
Cumming ,GA,7318,Cumming  GA
Bellbrook,OH,7317,Bellbrook OH
Crookston ,MN,7315,Crookston  MN
Belmont,NH,7314,Belmont NH
Villa Hills,KY,7310,Villa Hills KY
Macclenny,FL,7304,Macclenny FL
Washington Borough,NJ,7299,Washington Borough NJ
Logan,OH,7296,Logan OH
New London,WI,7295,New London WI
Emerson,NJ,7290,Emerson NJ
Jasper,TX,7285,Jasper TX
East Hills,NY,7284,East Hills NY
Salem,IL,7282,Salem IL
Green Brook Township,NJ,7281,Green Brook Township NJ
Dade City,FL,7275,Dade City FL
West Frankfort,IL,7275,West Frankfort IL
Upper Freehold Township,NJ,7273,Upper Freehold Township NJ
Scotia,NY,7272,Scotia NY
Swanzey,NH,7270,Swanzey NH
Sausalito,CA,7269,Sausalito CA
Nyack,NY,7265,Nyack NY
Globe,AZ,7249,Globe AZ
Wharton,NJ,7241,Wharton NJ
Rayne,LA,7236,Rayne LA
Pacific,WA,7235,Pacific WA
Taneytown,MD,7234,Taneytown MD
Herkimer,NY,7234,Herkimer NY
West Miami,FL,7233,West Miami FL
Montevallo,AL,7229,Montevallo AL
Marble Falls,TX,7227,Marble Falls TX
Laurel,MT,7222,Laurel MT
Nebraska City,NE,7222,Nebraska City NE
Sandwich,IL,7221,Sandwich IL
Wetumpka,AL,7220,Wetumpka AL
Neptune Beach,FL,7217,Neptune Beach FL
Tolleson,AZ,7216,Tolleson AZ
Pinson,AL,7215,Pinson AL
Savannah,TN,7213,Savannah TN
Waveland,MS,7210,Waveland MS
Pembroke,NH,7207,Pembroke NH
Keyport,NJ,7204,Keyport NJ
Batesville,IN,7202,Batesville IN
Mammoth Lakes,CA,7191,Mammoth Lakes CA
Atherton,CA,7188,Atherton CA
Bremen,GA,7185,Bremen GA
Hiawatha,IA,7183,Hiawatha IA
Devils Lake,ND,7182,Devils Lake ND
Winfield,IN,7181,Winfield IN
Stow,MA,7174,Stow MA
Monticello,NY,7173,Monticello NY
Great Barrington,MA,7172,Great Barrington MA
Russellville,KY,7164,Russellville KY
Demopolis,AL,7162,Demopolis AL
Clarkston,WA,7161,Clarkston WA
Spring Lake Park,MN,7157,Spring Lake Park MN
Fircrest,WA,7156,Fircrest WA
Canton,NY,7155,Canton NY
Durham,CT,7152,Durham CT
Morehead,KY,7151,Morehead KY
MiltonFreewater,OR,7151,MiltonFreewater OR
Robinson,IL,7150,Robinson IL
Seminole,OK,7146,Seminole OK
University Park,IL,7145,University Park IL
Lebanon,CT,7142,Lebanon CT
Richland,MS,7137,Richland MS
Georgetown,DE,7134,Georgetown DE
MentorontheLake,OH,7131,MentorontheLake OH
Epping,NH,7125,Epping NH
Philadelphia,MS,7118,Philadelphia MS
Delphos,OH,7117,Delphos OH
Winters,CA,7115,Winters CA
Seaside,OR,7115,Seaside OR
Kosciusko,MS,7114,Kosciusko MS
Stickney,IL,7110,Stickney IL
Islamorada,FL,7107,Islamorada FL
Sturgis ,SD,7107,Sturgis  SD
Cortland,OH,7105,Cortland OH
Brockport,NY,7104,Brockport NY
Crete,NE,7099,Crete NE
Gonzales,TX,7098,Gonzales TX
Murphysboro,IL,7093,Murphysboro IL
LacyLakeview,TX,7090,LacyLakeview TX
Atkinson,NH,7087,Atkinson NH
Delafield,WI,7085,Delafield WI
Tuckahoe,NY,7084,Tuckahoe NY
Greenville,IL,7083,Greenville IL
Sullivan,MO,7081,Sullivan MO
Barrington,NJ,7075,Barrington NJ
Fayetteville,TN,7068,Fayetteville TN
Dayton,TN,7065,Dayton TN
Isanti,MN,7064,Isanti MN
Mendota,IL,7061,Mendota IL
Youngtown,AZ,7056,Youngtown AZ
Norwich,NY,7051,Norwich NY
Prairie Grove,AK,7045,Prairie Grove AK
Prairie Grove,AR,7045,Prairie Grove AR
Hamilton,AL,7042,Hamilton AL
Milltown,NJ,7037,Milltown NJ
Harrisville,UT,7036,Harrisville UT
Buena Vista Township,NJ,7033,Buena Vista Township NJ
Belle Isle,FL,7032,Belle Isle FL
Connellsville,PA,7031,Connellsville PA
Frostburg,MD,7027,Frostburg MD
Seminole,TX,7026,Seminole TX
Calumet Park,IL,7025,Calumet Park IL
Mountainside,NJ,7020,Mountainside NJ
Bennettsville,SC,7020,Bennettsville SC
Mount Carmel,IL,7015,Mount Carmel IL
Lincoln,MA,7014,Lincoln MA
Midland Park,NJ,7014,Midland Park NJ
Aspen,CO,7004,Aspen CO
Clinton,IL,7004,Clinton IL
Pacific,MO,7002,Pacific MO
Church Hill,TN,6998,Church Hill TN
Mount Healthy,OH,6996,Mount Healthy OH
Morrilton,AK,6992,Morrilton AK
Morrilton,AR,6992,Morrilton AR
Rockport,MA,6992,Rockport MA
St Albans,VT,6988,St Albans VT
Noble,OK,6985,Noble OK
Fort Bragg,CA,6983,Fort Bragg CA
Stratford,NJ,6981,Stratford NJ
Osceola,AK,6976,Osceola AK
Osceola,AR,6976,Osceola AR
